,tweet_ids,tweets text,created_at,like_count,retweet_count,userid,user_mentions,toenglish,sentiment
10,1784901095170728107,"RT @IndiaTodayHINDI: बोधगया की जिस नदी में आना था गंगाजल, वहां गन्दा नाला कैसे बहने लगा?
दिलचस्प है कि, इसी गया #LokSabha सीट के #NDA उम्मी…",2024-04-29 11:02:37+00:00,0,6,1547587856260300806,IndiaTodayHINDI,"RT @IndiaTodayHINDI: How did the dirty drain start flowing in the river of Bodhgaya where Ganga water was supposed to come?
Interestingly, this is where the #NDA hopeful for the #LokSabha seat…",Negative
11,1784900464414183872,"RT @IndiaTodayHINDI: बोधगया की जिस नदी में आना था गंगाजल, वहां गन्दा नाला कैसे बहने लगा?
दिलचस्प है कि, इसी गया #LokSabha सीट के #NDA उम्मी…",2024-04-29 11:00:07+00:00,0,6,466623075,IndiaTodayHINDI,"RT @IndiaTodayHINDI: How did the dirty drain start flowing in the river of Bodhgaya where Ganga water was supposed to come?
Interestingly, this is where the #NDA hopeful for the #LokSabha seat…",Negative
12,1784897983105942004,"RT @DeccanHerald: Women constituted only eight per cent of the total 1,618 candidates in the first two phases of the #LokSabha polls, with…",2024-04-29 10:50:15+00:00,0,1,80876514,DeccanHerald,"RT @DeccanHerald: Women constituted only eight per cent of the total 1,618 candidates in the first two phases of the #LokSabha polls, with…",Neutral
13,1784897715513524466,"RT @IndiaTodayHINDI: बोधगया की जिस नदी में आना था गंगाजल, वहां गन्दा नाला कैसे बहने लगा?
दिलचस्प है कि, इसी गया #LokSabha सीट के #NDA उम्मी…",2024-04-29 10:49:11+00:00,0,6,793264992,IndiaTodayHINDI,"RT @IndiaTodayHINDI: How did the dirty drain start flowing in the river of Bodhgaya where Ganga water was supposed to come?
Interestingly, this is where the #NDA hopeful for the #LokSabha seat…",Negative
14,1784897119926530073,"#LokSabha #Elections 2024: Union Minister #SmritiIrani Files Her Nomination Papers From #Amethi (Video)

 https://t.co/Nsb135qp8y",2024-04-29 10:46:49+00:00,0,0,295693924,,"#LokSabha #Elections 2024: Union Minister #SmritiIrani Files Her Nomination Papers From #Amethi (Video)

 https://t.co/Nsb135qp8y",Neutral
15,1784886669755502968,ఎన్ఆర్ఐ ఓటర్లకు ట్రావెల్ ఏజెంట్ల ఆఫర్.. ఫ్లైట్ బుకింగ్స్‌పై 50 శాతం డిస్కౌంట్ https://t.co/bRn3owBPFG #TeluguIeltsCenters #LokSabha #Nri #Punjabitravel #Travel,2024-04-29 10:05:18+00:00,0,0,947147264,,Travel agents offer to NRI voters.. 50 percent discount on flight bookings https://t.co/bRn3owBPFG #TeluguIeltsCenters #LokSabha #Nri #Punjabitravel #Travel,Positive
16,1784870529553375714,"बोधगया की जिस नदी में आना था गंगाजल, वहां गन्दा नाला कैसे बहने लगा?
दिलचस्प है कि, इसी गया #LokSabha सीट के #NDA उम्मीदवार जीतनराम मांझी अपने नामांकन से पहले अयोध्या शीश नवाने पहुंचते हैं.
@pushymitr @TourismBiharGov @NitishKumar @yadavtejashwi #Bihar 
https://t.co/8T3JOhsG1J",2024-04-29 09:01:10+00:00,19,6,722736498441904129,,"How did the dirty drain start flowing in the river of Bodh Gaya where Ganga water was supposed to come?
Interestingly, #NDA candidate from Gaya #LokSabha seat Jitan Ram Manjhi reaches Ayodhya Sheesh Nawane before his nomination.
@pushymitr @TourismBiharGov @NitishKumar @yadavtejashwi #Bihar
https://t.co/8T3JOhsG1J",Negative
17,1784868882835964082,"RT @fpjindia: #LokSabha #Elections 2024: #DefenceMinister #RajnathSingh Files #Nomination From #Lucknow
https://t.co/7DYGn32ic6",2024-04-29 08:54:37+00:00,0,1,54516759,fpjindia,"RT @fpjindia: #LokSabha #Elections 2024: #DefenceMinister #RajnathSingh Files #Nomination From #Lucknow
https://t.co/7DYGn32ic6",Neutral
18,1784868596134342687,RT @the_hindu: #ElectionsWithTheHindu | The gazette notification for the sixth phase of the #LokSabha elections 2024 is to be issued today.…,2024-04-29 08:53:29+00:00,0,7,54516759,the_hindu,RT @the_hindu: #ElectionsWithTheHindu | The gazette notification for the sixth phase of the #LokSabha elections 2024 is to be issued today.…,Neutral
19,1784866022962454618,"In a big jolt to the Congress Party, their Lok Sabha Election candidate from the Indore constituency, Akshay Kanti, on Monday withdrew his nomination and joined the BJP.

Read More: https://t.co/NjB63gKASg

#CongressParty #LokSabha #Election #Indore #Nomination https://t.co/fkl91pB6G7",2024-04-29 08:43:15+00:00,0,0,231692806,,"In a big jolt to the Congress Party, their Lok Sabha Election candidate from the Indore constituency, Akshay Kanti, on Monday withdrew his nomination and joined the BJP.

Read More: https://t.co/NjB63gKASg

#CongressParty #LokSabha #Election #Indore #Nomination https://t.co/fkl91pB6G7",Positive
